strategy_id,pmid,doi,title,abstract,authors,journal,year,publication_types,pubmed_url,retrieved_date,doi_normalized
NR-PUBMED-02,20157177,10.1136/sti.2009.037044,"Trends in the epidemiology of bacterial sexually transmitted infections in eastern Europe, 1995-2005.","Sexually transmitted infections (STI) are a significant public health problem both worldwide and in Europe. This article reviews trends in the epidemiology of the major bacterial STI in eastern European countries, their key determinants, as well as challenges and opportunities for enhancing STI control in the region. Publications were sought through computerised searches in PubMed from 1995 to 2008 using using free text and relevant medical subject headings with no language restrictions. Conference abstracts and other unpublished manuscripts were excluded. The reported rates of STI in many eastern European countries have either decreased (syphilis and gonorrhoea in the eastern/Russian regions, gonorrhoea throughout eastern Europe) or been relatively stable (syphilis in the southeastern region, chlamydia throughout eastern Europe), in the past decade, but are still significantly higher than in western Europe. There is a significant east-west geopolitical gradient in reported STI rates throughout eastern Europe (STI rates: Russia/eastern region>>southeastern region>central region). Challenges for STI control include: the need to strengthen public health components of control; improvements in surveillance and improvement, as well as quality assurance, in diagnostic strategies. Gains in STI control may be achieved through greater collaboration and harmonisation of practicss at the European level.",Uusküla A; Puur A; Toompere K; DeHovitz J,Sexually transmitted infections,2010,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Review",https://pubmed.ncbi.nlm.nih.gov/20157177/,2026-08-20,10.1136/sti.2009.037044
NR-PUBMED-01,20399139,10.1016/j.ijmedinf.2010.03.002,Harmonization of health data at national level: a pilot study in China.,"For the purpose of establishing electronic health record (EHR), business-oriented health data distributed in different systems should be integrated to focus on individuals. This study is aimed at collecting health data items that are now nationally available in various health information systems, and harmonizing them by modeling and defining the data elements. This study followed a bottom-up strategy in data standard development. Health data items were identified and collected by referring to national health service regulations, consulting domain experts and performing field investigations. Data items were classified and modeled based on recognized domain knowledge, information standards and specifications developed by standard development organizations (SDOs) of other countries. Data elements were extracted from data items and defined according to ISO/IEC 11179 -Metadata registries (MDR) and confirmed needs. 1588 data items were collected from 33 recording forms that have been used nationally in health services, and were classified with a conceptual data model that was composed of 7 super classes (healthcare clients, healthcare providers, birth registry, health event/act, healthcare process, death, and others) and 15 classes (person's identification, person's socio-demographic characteristics, address, communication, provider-organization, provider-individual, birth, health event/act, observation, procedure, drug and material administration, recommendation, evaluation, expenditure, death, others). By normalizing the concepts and representations of data items, data elements were derived and defined as the attributes of classes in the data model. Data items were specified as instances of corresponding data elements. A large number of health data have been collected nationwide but person's life-long health record is incomplete and inconsistent now. To integrate such massive quantity of health data from various sources, a conceptual data model was established to organize data items, avoiding conflicts and duplications in between. For data consistency, data elements should be extracted from the data items and defined as attributes of classes in the data model by choosing essential metadata attributes. Treating data items as instances of well defined data elements might make data in different contexts manageable and agreeable. To be semantically unambiguous, further study should be performed to deal with the standardization of detailed medical information, and perfect the approach of data harmonization.",Liu D; Wang X; Pan F; Yang P; Xu Y; Tang X; Hu J; Rao K,International journal of medical informatics,2010,"Journal Article; Research Support, Non-U.S. Gov't",https://pubmed.ncbi.nlm.nih.gov/20399139/,2026-08-20,10.1016/j.ijmedinf.2010.03.002
NR-PUBMED-01,21308768,10.1002/gepi.20571,Gene-environment interplay in common complex diseases: forging an integrative model—recommendations from an NIH workshop.,"Although it is recognized that many common complex diseases are a result of multiple genetic and environmental risk factors, studies of gene-environment interaction remain a challenge and have had limited success to date. Given the current state-of-the-science, NIH sought input on ways to accelerate investigations of gene-environment interplay in health and disease by inviting experts from a variety of disciplines to give advice about the future direction of gene-environment interaction studies. Participants of the NIH Gene-Environment Interplay Workshop agreed that there is a need for continued emphasis on studies of the interplay between genetic and environmental factors in disease and that studies need to be designed around a multifaceted approach to reflect differences in diseases, exposure attributes, and pertinent stages of human development. The participants indicated that both targeted and agnostic approaches have strengths and weaknesses for evaluating main effects of genetic and environmental factors and their interactions. The unique perspectives represented at the workshop allowed the exploration of diverse study designs and analytical strategies, and conveyed the need for an interdisciplinary approach including data sharing, and data harmonization to fully explore gene-environment interactions. Further, participants also emphasized the continued need for high-quality measures of environmental exposures and new genomic technologies in ongoing and new studies.",Bookman EB; McAllister K; Gillanders E; Wanke K; Balshaw D; Rutter J; Reedy J; Shaughnessy D; Agurs-Collins T; Paltoo D; Atienza A; Bierut L; Kraft P; Fallin MD; Perera F; Turkheimer E; Boardman J; Marazita ML; Rappaport SM; Boerwinkle E; Suomi SJ; Caporaso NE; Hertz-Picciotto I; Jacobson KC; Lowe WL; Goldman LR; Duggal P; Gunnar MR; Manolio TA; Green ED; Olster DH; Birnbaum LS; NIH GxE Interplay Workshop participants,Genetic epidemiology,2011,"Consensus Development Conference, NIH; Journal Article",https://pubmed.ncbi.nlm.nih.gov/21308768/,2026-08-20,10.1002/gepi.20571
NR-PUBMED-03,21398380,10.1093/eurpub/ckr018,Low coverage and predictors of vaccination uptake against tick-borne encephalitis in Slovenia.,"Although vaccination against tick-borne encephalitis (TBE) was introduced in 1986, Slovenia remains one of the countries with the highest reported incidence rates. For exposed occupationally or during education/training, vaccination is reimbursed by employer or within mandatory health insurance, while others have to pay. Our aim was to obtain the first national estimate of self-reported uptake of vaccination against TBE in a probability sample of the general population aged ≥15 years and identify predictors of self-paid vaccination uptake. Two questions on vaccination against TBE were added into the 2007 Slovenian version of European Health Interview Survey. We used multivariable logistic regression analysis to identify factors independently associated with self-paid TBE vaccination uptake. The overall self-reported prevalence of TBE vaccination uptake was 12.4%, of which, due to occupational exposure 3.2%, exposure during education/training 2.3% and as military recruits 2.2%. Additional 4.6% individuals reported to be vaccinated due to 'other reasons' (self-paid). There were no gender differences among individuals who paid for vaccination (4.5 and 4.8%, respectively). Characteristics independently associated with higher odds for self-paid vaccination against TBE were high income, not being overweight and ever being vaccinated against influenza. To reduce TBE morbidity in Slovenia vaccination coverage of the general population should be increased. Offering vaccination within compulsory health insurance together with intensive vaccination promotion would increase the vaccination coverage and reduce the social inequality in access.",Grgic-Vitek M; Klavs I,European journal of public health,2012,"Journal Article; Research Support, N.I.H., Extramural",https://pubmed.ncbi.nlm.nih.gov/21398380/,2026-08-20,10.1093/eurpub/ckr018
NR-PUBMED-03,21462268,10.1002/hup.1190,Poor health behaviour and reduced quality of life of people treated with psychotropic drugs.,"Recent literature reports a reduced l\ife expectancy in patients with severe mental illness. We have investigated health behaviour, quality of life, and sociodemographic variables of people with psychopharmacological treatment using data from the most recent Austrian Health Survey. Quality of life (the World Health Organization quality of life, abbreviated version) questionnaires and items from the European Health Interview Survey were used in assessing health status and health behaviour of 15,474 people living in Austria. From this sample, 882 individuals (5.7%) under psychopharmacological treatment were compared with respondents without mental illness. We found significant differences in health behaviour (reduced physical activity, more smoking) and sociodemographic data (age, gender, education, income) between people treated for mental illness and respondents without psychopharmacological treatment. Correspondingly, more somatic illness and reduced quality of life were found in the former group. These data stress the necessity of health intervention and antipoverty programmes taking social and somatic issues for people with moderate mental health problems into account.",Kopp M; Fleischhacker WW; Stürz K; Ruedl G; Kumnig M; Rumpold G,Human psychopharmacology,2011,Comparative Study; Journal Article,https://pubmed.ncbi.nlm.nih.gov/21462268/,2026-08-20,10.1002/hup.1190
NR-PUBMED-01,21655123,10.3390/ijerph8051341,AGRICOH: a consortium of agricultural cohorts.,"AGRICOH is a recently formed consortium of agricultural cohort studies involving 22 cohorts from nine countries in five continents: South Africa (1), Canada (3), Costa Rica (2), USA (6), Republic of Korea (1), New Zealand (2), Denmark (1), France (3) and Norway (3). The aim of AGRICOH, initiated by the US National Cancer Institute (NCI) and coordinated by the International Agency for Research on Cancer (IARC), is to promote and sustain collaboration and pooling of data to investigate the association between a wide range of agricultural exposures and a wide range of health outcomes, with a particular focus on associations that cannot easily be addressed in individual studies because of rare exposures (e.g., use of infrequently applied chemicals) or relatively rare outcomes (e.g., certain types of cancer, neurologic and auto-immune diseases). To facilitate future projects the need for data harmonization of selected variables is required and is underway. Altogether, AGRICOH provides excellent opportunities for studying cancer, respiratory, neurologic, and auto-immune diseases as well as reproductive and allergic disorders, injuries and overall mortality in association with a wide array of exposures, prominent among these the application of pesticides.",Leon ME; Beane Freeman LE; Douwes J; Hoppin JA; Kromhout H; Lebailly P; Nordby KC; Schenker M; Schüz J; Waring SC; Alavanja MC; Annesi-Maesano I; Baldi I; Dalvie MA; Ferro G; Fervers B; Langseth H; London L; Lynch CF; McLaughlin J; Merchant JA; Pahwa P; Sigsgaard T; Stayner L; Wesseling C; Yoo KY; Zahm SH; Straif K; Blair A,International journal of environmental research and public health,2011,"Journal Article; Multicenter Study; Research Support, N.I.H., Extramural",https://pubmed.ncbi.nlm.nih.gov/21655123/,2026-08-20,10.3390/ijerph8051341
NR-PUBMED-03,21657110,10.1017/s2045796011000060,European comparisons between mental health services.,"When developing accessible, affordable and effective mental health systems, exchange of data between countries is an important moving force towards better mental health care. Unfortunately, health information systems in most countries are weak in the field of mental health, and comparability of data is low. Special international data collection exercises, such as the World Health Organization (WHO) Atlas Project and the WHO Baseline Project have provided valuable insights in the state of mental health systems in countries, but such single-standing data collections are not sustainable solutions. Improvements in routine data collection are urgently needed. The European Commission has initiated major improvements to ensure harmonized and comprehensive health data collection, by introducing the European Community Health Indicators set and the European Health Interview Survey. However, both of these initiatives lack strength in the field of mental health. The neglect of the need for relevant and valid comparable data on mental health systems is in conflict with the importance of mental health for European countries and the objectives of the 'Europe 2020' strategy. The need for valid and comparable mental health services data is today addressed only by single initiatives, such as the Organisation for Economic Co-operation and Development work to establish quality indicators for mental health care. Real leadership in developing harmonized mental health data across Europe is lacking. A European Mental Health Observatory is urgently needed to lead development and implementation of monitoring of mental health and mental health service provision in Europe.",Wahlbeck K,Epidemiology and psychiatric sciences,2011,Comparative Study; Editorial,https://pubmed.ncbi.nlm.nih.gov/21657110/,2026-08-20,10.1017/s2045796011000060
NR-PUBMED-01,21749975,10.1093/aje/kwr194,Invited commentary: consolidating data harmonization--how to obtain quality and applicability?,"It is recognized that very large sample sizes capable of providing adequate statistical power are required to properly investigate and understand the role and interaction of genetic, lifestyle, and environmental factors in modulating the risk and progression of chronic diseases. However, very few one-off studies provide access to very large numbers of participants, and the collection of high-quality data necessitates a major investment of resources. The scientific community is thus increasingly engaged in collaborative efforts to facilitate harmonization and synthesis of data across studies. Complementary harmonization approaches may be adopted to support these efforts. In the current issue of the American Journal of Epidemiology, Hamilton et al. (Am J Epidemiol. 2011;174(3):253-260) present the consensus measures for Phenotypes and eXposures (PhenX) Toolkit, which promotes the use of identical data collection tools and procedures to support harmonization across emerging studies. Data synthesis is greatly facilitated by the use of common measures and procedures. However, the ""stringent"" criteria required by PhenX can limit its utilization. The opportunity to make use of rigorous but more ""flexible"" harmonization approaches should also be considered.",Fortier I; Doiron D; Burton P; Raina P,American journal of epidemiology,2011,"Comment; Journal Article; Research Support, Non-U.S. Gov't",https://pubmed.ncbi.nlm.nih.gov/21749975/,2026-08-20,10.1093/aje/kwr194
NR-PUBMED-03,21793230,10.1002/acr.20558,"Burden of musculoskeletal disease and its determination by urbanicity, socioeconomic status, age, and sex: Results from 14,507 subjects.","The availability of reliable estimates of the burden of musculoskeletal disease is of considerable importance for policymakers. This study uses data from the 14,507 participants of the European Health Interview Survey conducted in Austria in 2006/2007 to calculate estimates of the prevalence of osteoarthritis, spinal conditions, and osteoporosis in a population representative of other European Union or Organisation for Economic Co-operation and Development member states. Urbanicity, socioeconomic status, and age and sex were included as determinants of musculoskeletal disease. The prevalence of arthritis was 18.8% (95% confidence interval [95% CI] 18.2-19.4%), of spinal conditions was 38.4% (95% CI 37.6-39.2%), and of osteoporosis was 6.6% (95% CI 6.3-7.0%). The census data showed strong evidence for an association between urbanicity and arthritis (P = 0.012) and osteoporosis (P < 0.001), but not spinal conditions (P = 0.721). Arthritis and spinal conditions were associated with socioeconomic status (P < 0.001 for all). Osteoporosis showed the same associations with age, income, and education. For arthritis, a combined model showed a substantial attenuation of the effect of urbanicity on arthritis prevalence after adjustment for socioeconomic status. These data suggest that the burden of musculoskeletal disease is determined by both urbanicity and socioeconomic status; however, the effect of urbanicity seems to be attributable to differences in socioeconomic status and demographics across geographic regions.",Vavken P; Dorotka R,Arthritis care & research,2011,Journal Article,https://pubmed.ncbi.nlm.nih.gov/21793230/,2026-08-20,10.1002/acr.20558
NR-PUBMED-02,21996979,10.1007/s10802-011-9569-4,Measurement equivalence across racial/ethnic groups of the mood and feelings questionnaire for childhood depression.,"As research continues to document differences in the prevalence of mental health problems such as depression across racial/ethnic groups, the issue of measurement equivalence becomes increasingly important to address. The Mood and Feelings Questionnaire (MFQ) is a widely used screening tool for child and adolescent depression. This study applied a differential item functioning (DIF) framework to data from a sample of 6th and 8th grade students in the Seattle Public School District (N = 3,593) to investigate the measurement equivalence of the MFQ. Several items in the MFQ were found to have DIF, but this DIF was associated with negligible individual- or group-level impact. These results suggest that differences in MFQ scores across groups are unlikely to be caused by measurement non-equivalence.",Banh MK; Crane PK; Rhew I; Gudmundsen G; Stoep AV; Lyon A; McCauley E,Journal of abnormal child psychology,2012,Journal Article,https://pubmed.ncbi.nlm.nih.gov/21996979/,2026-08-20,10.1007/s10802-011-9569-4
