record_id,pmid,title,stage,proposed_decision,proposed_reason,proposed_reviewer,proposed_review_date,investigator_decision,investigator_initials,confirmation_date,investigator_notes
PMID-38354027,38354027,Use of Metadata-Driven Approaches for Data Harmonization in the Medical Domain: Scoping Review.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-37469576,37469576,"An integrative approach for the analysis of risk and health across the life course: challenges, innovations, and opportunities for life course research.",title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-34498557,34498557,Estimating measurement equivalence of the 12-item General Health Questionnaire across ethnic groups in the UK.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-36867965,36867965,"Further evaluation of the psychometric properties of the German version of the Body Appreciation Scale-2 (BAS-2): Cross-validation, measurement invariance, and population-based norms.",title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-37535410,37535410,Methods Used in the Development of Common Data Models for Health Data: Scoping Review.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-37464990,37464990,A guide for researchers seeking training in retrospective data harmonization for population neuroscience studies of Alzheimer's disease and related dementias.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-34327634,34327634,Assessing measurement invariance in the EORTC QLQ-C30.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-36099537,36099537,Consensus Minimal Dataset for Pediatric Emergency Medicine in Switzerland.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-36131316,36131316,Factor structure and longitudinal measurement invariance of the K6 among a national representative elder sample of China.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-36266608,36266608,"Gothenburg Empowerment Scale (GES): psychometric properties and measurement invariance in adults with congenital heart disease from Belgium, Norway and South Korea.",title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-35698074,35698074,Implementation and evaluation of an individualized physical exercise promotion program in people with manifested risk factors for multimorbidity (MultiPill-Exercise): a study protocol for a pragmatic randomized controlled trial.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-35485544,35485544,Measurement Invariance and Validity of the Satisfaction With Life Scale in Informal Caregivers.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-36011705,36011705,The Effect of Psychological Distress on Measurement Invariance in Measures of Mental Wellbeing.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-35752851,35752851,Time and gender measurement invariance in the modified Calderon depression scale.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-33546272,33546272,"Cross-Cultural Measurement Invariance of a Measure of Disability for White, Black, Hispanic and Asian Older Adults.",title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
