record_id,title,year,source,stage,decision,reason,reviewer,review_date,notes
PMID-35449545,A Secure and Reusable Software Architecture for Supporting Online Data Harmonization.,2021,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 22
PMID-30382716,Measurement equivalence of PROMIS depression in Spain and the United States.,2019,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 17
PMID-26524232,Data Harmonization in Aging Research: Not so Fast.,2015,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 17
PMID-42514344,"A Systems Perspective on Lifestyle Behaviors, Excess Weight, and Healthy Longevity in the European Union.",2026,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 16
PMID-40791144,"Co-RESPOND: a federated network of cohorts on mental health and adversity during the COVID-19 pandemic. Challenges, solutions and recommendations for retrospective data harmonization.",2025,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 16
PMID-39934642,Socio-Demographic Determinants of Mediterranean Diet Adherence: Results of the EU-National Health Interview Survey (EHIS-3).,2025,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 16
PMID-33836996,Identification and inclusion of gender factors in retrospective cohort studies: the GOING-FWD framework.,2021,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 16
PMID-33413280,Questionnaire choice affects the prevalence of recommended physical activity: an online survey comparing four measuring instruments within the same sample.,2021,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 16
PMID-33237930,"The epidemiology of muscle-strengthening exercise in Europe: A 28-country comparison including 280,605 adults.",2020,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 16
PMID-31018973,Harmonization of the Health and Risk Factor Questionnaire data of the Canadian Partnership for Tomorrow Project: a descriptive analysis.,2019,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 16
PMID-27215626,Physical activity surveillance in the European Union: reliability and validity of the European Health Interview Survey-Physical Activity Questionnaire (EHIS-PAQ).,2016,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 16
PMID-16043316,Prevalence and correlates of hormonal therapy among Israeli women in the post-WHI era.,2005,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 16
PMID-39494216,Applying Latent Variable Models to Estimate Cumulative Exposure Burden to Chemical Mixtures and Identify Latent Exposure Subgroups: A Critical Review and Future Directions.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 15
PMID-42221536,Assessing the Structural Validity and Measurement Invariance of the Whole Person Health Index.,2026,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-42113613,Epidemiology of obesity in pregnancy in the Czech Republic - demographic context and clinical implications.,2026,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-40762058,Core Outcome Set for Studies on Cardiac Disease in Pregnancy (COSCarP): An International Delphi Consensus Study.,2025,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-37667811,Experience and Reporting of Postnatal Depression Across Cultures: A Comparison Using Anchoring Vignettes of Mothers in the United Kingdom and India.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-38639188,Injury Patterns and Gender in Italy.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-38531091,Measuring up: the significance of measurement invariance in cardiovascular research.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-38346607,Trends towards increase of Cardiovascular diseases mortality in USA: A comparison with Europe and the importance of preventive care.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-39042420,Uncovering Harmonization Potential in Health Care Data Through Iterative Refinement of Fast Healthcare Interoperability Resources Profiles Based on Retrospective Discrepancy Analysis: Case Study.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-39742385,"Utilisation of medical services in Germany and Europe - Results of the European Health Interview Survey (EHIS 3, 2018 - 2020).",2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-37919706,"Quality of life, social support, and adherence in female patients with thyroid disorders.",2023,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-36582668,Real-world demographic patterns of users of a digital primary prevention service for diabetes.,2023,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-36637894,Trusted Data Spaces as a Viable and Sustainable Solution for Networks of Population-Based Patient Registries.,2023,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-36130141,An Assessment of the Structural Validity and Measurement Invariance of the Web-Use Skills Scale for Aging Internet Users.,2022,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-35081452,Crosswalks between the Oxford hip and knee scores and the HOOS-12 and KOOS-12 instruments.,2022,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-35411334,Harmonizing Implementation and Outcome Data Across HIV Prevention and Care Studies in Resource-Constrained Settings.,2022,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-36011429,Measurement Invariance of the WHO-5 Well-Being Index: Evidence from 15 European Countries.,2022,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-34495443,Measurement invariance of the Seattle Angina Questionnaire in coronary artery disease.,2022,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-34372892,A rare disease patient-reported outcome measure: revision and validation of the German version of the Systemic Sclerosis Quality of Life Questionnaire (SScQoL) using the Rasch model.,2021,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-33352669,How Many Older Informal Caregivers Are There in Europe? Comparison of Estimates of Their Prevalence from Three European Surveys.,2020,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-30478617,Educational inequalities in Global Activity Limitation Indicator disability in 28 European Countries: Does the choice of survey matter?,2019,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-30530137,Measurement equivalence of the short-form Quality of Life in Childhood Epilepsy Questionnaire (QOLCE-16).,2019,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-25627670,Assessing measurement invariance of three depression scales between neurologic samples and community samples.,2015,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-22835634,[Hungarian Diet and Nutritional Status Survey -- the OTAP2009 study. V. Intake of microelements in the Hungarian population].,2012,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-21657110,European comparisons between mental health services.,2011,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 14
PMID-33152178,Scale Banking for Patient-Reported Outcome Measures That Measure Functioning in Rheumatoid Arthritis: A Daily Activities Metric.,2022,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 13
PMID-33610807,Linking Oswestry Disability Index to the PROMIS pain interference CAT with equipercentile methods.,2021,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 13
PMID-30235003,"Scoring Depression on a Common Metric: A Comparison of EAP Estimation, Plausible Value Imputation, and Full Bayesian IRT Modeling.",2019,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 13
PMID-24262771,Standardization of depression measurement: a common metric was developed for 11 self-report depression measures.,2014,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 13
PMID-17060838,An essay on measurement and factorial invariance.,2006,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 13
PMID-42362693,An integrated cell atlas of 2.4 million cardiac cells across 209 individuals in health and disease.,2026,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-41813166,Design and Performance of an Email-Based Patient Recruitment Campaign in Primary Care Research: Formative Secondary Analysis.,2026,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-41515275,Dietary Patterns and Depressive Symptom Severity in the Hungarian Adult Population: Evidence from a Nationally Representative Survey.,2026,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-41808055,Estimating the hospitalisation burden of obesity in Europe: evidence from the European health interview survey (EHIS) wave 3.,2026,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-41923015,Evaluating the participatory processes within the OECD PaRIS project in Saskatchewan: lessons learned about recruitment and engagement.,2026,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-41167399,Insulinemic and inflammatory dietary patterns and colorectal cancer risk: a dietary data harmonization study of one million participants in the Consortium of Metabolomics Studies (COMETS).,2026,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-42075612,Lifestyle and Health Characteristics of the Adult Population of Serbia with Type 2 Diabetes Mellitus.,2026,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-40958450,Personal Recovery in the General Population: Comparison of Psychometric Properties of the Brief INSPIRE-O in Those With and Without Common Mental Disorders.,2026,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-42208539,Rethinking healthcare data interoperability in the age of large language models.,2026,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-42568083,Social support and country-level factors associated with cancer screening participation in 18 European countries: a multilevel analysis of the European Health Interview Survey.,2026,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-40649013,Artificial Sweeteners and Cardiovascular Risk in Hungary: Beyond Traditional Risk Factors.,2025,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-41039292,Assessing evidence of measurement invariance of the Mental Health Inventory (MHI-5) by gender in a German adult sample.,2025,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-40573146,Comparison of Preconception Diet Scores Across Studies: The PrePARED Consortium.,2025,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-39174334,Development of the Patient-Reported Indicator Surveys (PaRIS) conceptual framework to monitor and improve the performance of primary care for people living with chronic conditions.,2025,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-41068859,Examining cervical cancer screening adherence: how does healthism influence participation?,2025,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-40183494,"Factor Structure, Internal Consistency, and Measurement Invariance of the Eating Pathology Symptoms Inventory (EPSI) in Transgender and Gender-Diverse Adults.",2025,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-40998583,International survey of people living with chronic conditions: development and evaluation of the PaRIS Patient Questionnaire (PaRIS-PQ) in 18 countries.,2025,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-39915755,Physical activity and motivational readiness for physical activity behavior change in adults with non-communicable diseases in Germany: a trend analysis of two cross-sectional health surveys from the German GEDA study 2014/2015 and 2019/2020.,2025,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-40419590,"The sense of coherence scale and relationships between sense of coherence, sociodemographic variables and chronic disease.",2025,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-38365871,Approaches to protocol standardization and data harmonization in the ECHO-wide cohort study.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-39281853,Clinical and biobehavioral phenotypic assessments and data harmonization for the RE-JOIN research consortium: Recommendations for common data element selection.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-38577153,Diet patterns associated with cognitive decline: methods to harmonize data from European and US cohort studies.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-38953657,Evaluating the harmonization potential of oral health-related questionnaires in national longitudinal birth and child cohort surveys.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-39727906,"Measurement Equivalence and Feasibility of the Electronic and Paper Versions of the POSAS, EQ-5D, and DLQI: A Randomized Crossover Trial.",2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-39080090,Measurement invariance of the PROMIS emotional distress and subjective well-being domains among autistic and General Population adolescents.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-38892800,Musculoskeletal Diseases as the Most Prevalent Component of Multimorbidity: A Population-Based Study.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-38755748,New Tools for Data Harmonization and Their Potential Applications in Organ Transplantation.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-38156337,Patient Reported Indicator Surveys (Paris): Methodological Considerations of a Field Trial in Slovenia.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-38354027,Use of Metadata-Driven Approaches for Data Harmonization in the Medical Domain: Scoping Review.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-37469576,"An integrative approach for the analysis of risk and health across the life course: challenges, innovations, and opportunities for life course research.",2023,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-34498557,Estimating measurement equivalence of the 12-item General Health Questionnaire across ethnic groups in the UK.,2023,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-36867965,"Further evaluation of the psychometric properties of the German version of the Body Appreciation Scale-2 (BAS-2): Cross-validation, measurement invariance, and population-based norms.",2023,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-37535410,Methods Used in the Development of Common Data Models for Health Data: Scoping Review.,2023,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-37464990,A guide for researchers seeking training in retrospective data harmonization for population neuroscience studies of Alzheimer's disease and related dementias.,2022,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-34327634,Assessing measurement invariance in the EORTC QLQ-C30.,2022,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-36099537,Consensus Minimal Dataset for Pediatric Emergency Medicine in Switzerland.,2022,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-36131316,Factor structure and longitudinal measurement invariance of the K6 among a national representative elder sample of China.,2022,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-36266608,"Gothenburg Empowerment Scale (GES): psychometric properties and measurement invariance in adults with congenital heart disease from Belgium, Norway and South Korea.",2022,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-35698074,Implementation and evaluation of an individualized physical exercise promotion program in people with manifested risk factors for multimorbidity (MultiPill-Exercise): a study protocol for a pragmatic randomized controlled trial.,2022,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-35485544,Measurement Invariance and Validity of the Satisfaction With Life Scale in Informal Caregivers.,2022,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-36011705,The Effect of Psychological Distress on Measurement Invariance in Measures of Mental Wellbeing.,2022,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-35752851,Time and gender measurement invariance in the modified Calderon depression scale.,2022,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-33546272,"Cross-Cultural Measurement Invariance of a Measure of Disability for White, Black, Hispanic and Asian Older Adults.",2021,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-35111707,"Differences Regarding Knowledge of Sexually Transmitted Infections, Sexual Habits, and Behavior Between University Students of Medical and Nonmedical Professions in Serbia.",2021,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-34333621,Teacher Versus Parent Informant Measurement Invariance of the Strengths and Difficulties Questionnaire.,2021,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-33671784,The Influence of Occupational Categories on Overall and Domain-Specific Physical Activity and the Association with Chronic Diseases. An Analysis Using the Austrian Health Interview Survey.,2021,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-33464669,"The epidemiology of muscle-strengthening and aerobic physical activity guideline adherence among 24,016 German adults.",2021,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-32143973,[Diet quality in a population aged over 65 and related socioeconomic factors].,2021,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-30321436,Measurement Equivalence of the Subjective Well-Being Scale Among Racially/Ethnically Diverse Older Adults.,2020,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-30205206,Retrospective harmonization of multi-site diffusion MRI data acquired with different acquisition parameters.,2019,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-30578242,Adolescent Medicine Trials Network for HIV/AIDS Interventions Data Harmonization: Rationale and Development of Guidelines.,2018,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-30016814,MIRACUM: Medical Informatics in Research and Care in University Medicine.,2018,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-29315123,Measurement Properties of Patient-Reported Outcome Measures Used in Patients Undergoing Total Hip Arthroplasty: A Systematic Review.,2018,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-29495212,[Data harmonization and sharing in study cohorts of respiratory diseases].,2018,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-27621257,"The InterLACE study: Design, data harmonization and characteristics across 20 studies on women's health.",2016,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-26395286,Good Medicine and Good Healthcare Demand Good Information (Systems).,2015,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-26541292,Inequalities in medicine use in Central Eastern Europe: an empirical investigation of socioeconomic determinants in eight countries.,2015,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-24767588,Measurement equivalence of the CES-D 8 depression-scale among the ageing population in eleven European countries.,2014,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-25006191,Recommended patient-reported core set of symptoms to measure in adult cancer treatment trials.,2014,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 12
PMID-41168823,Development and preliminary testing of a patient reported experience measure for chronic disease patients in Singapore.,2025,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 11
PMID-39511613,Harmonizing measurements: establishing a common metric via shared items across instruments.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 11
PMID-38212174,Simplified Chinese version of the PROMIS Pediatric-25 profile: A validation study among cancer children.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 11
PMID-37331836,Validation of the simplified Chinese version of PROMIS Parent Proxy-25 Profile in parents of children with cancer.,2023,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 11
PMID-34089412,"Examining the measurement equivalence of the Maslach Burnout Inventory across age, gender, and specialty groups in US physicians.",2021,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 11
PMID-34689753,Pre-statistical harmonization of behavrioal instruments across eight surveys and trials.,2021,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 11
PMID-22552604,Measurement invariance of the PROMIS pain interference item bank across community and clinical samples.,2013,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 11
PMID-41786039,"Association of depressive symptoms with all-cause, cardiovascular, and cancer mortality: A population-based study in Spain.",2026,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 10
PMID-42075095,Daily Use of Caloric and Artificial Sweeteners Among Hungarian Adults with Diabetes: Socioeconomic and Dietary Associations.,2026,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 10
PMID-29511034,Measurement equivalence: a glossary for comparative population health research.,2018,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 6
