record_id,pmid,doi,title,authors,year,journal,pubmed_url,evidence_tier,primary_theme,project_use,full_text_priority
PMID-35411334,35411334,10.1007/s43477-022-00042-7,Harmonizing Implementation and Outcome Data Across HIV Prevention and Care Studies in Resource-Constrained Settings.,Donenberg GR; Merrill KG; Obiezu-Umeh C; Nwaozuru U; Blachman-Demner D; Subramanian S; Fournier A; Iwelunmor J,2022,Global implementation research and applications,https://pubmed.ncbi.nlm.nih.gov/35411334/,APPLIED,Pre-statistical harmonisation potential,Supports operational criteria and sensitivity analyses,MEDIUM
PMID-30578242,30578242,10.2196/11207,Adolescent Medicine Trials Network for HIV/AIDS Interventions Data Harmonization: Rationale and Development of Guidelines.,McCumber M; Cain D; LeGrand S; Mayer KH; Murphy DA; Psioda MA; Seña AC; Starks TJ; Hudgens M,2018,JMIR research protocols,https://pubmed.ncbi.nlm.nih.gov/30578242/,SPECIALISED,Harmonisation framework and implementation,Use conditionally for complex scales or specific domains,CONDITIONAL
PMID-38531091,38531091,10.1093/eurjcn/zvae041,Measuring up: the significance of measurement invariance in cardiovascular research.,Acuña Mora M; Raymaekers K,2024,European journal of cardiovascular nursing,https://pubmed.ncbi.nlm.nih.gov/38531091/,SPECIALISED,Measurement equivalence and statistical linking,Use conditionally for complex scales or specific domains,CONDITIONAL
PMID-39511613,39511613,10.1186/s12963-024-00351-z,Harmonizing measurements: establishing a common metric via shared items across instruments.,Eekhout I; Weber AM; van Buuren S,2024,Population health metrics,https://pubmed.ncbi.nlm.nih.gov/39511613/,SPECIALISED,Measurement equivalence and statistical linking,Use conditionally for complex scales or specific domains,CONDITIONAL
PMID-33152178,33152178,10.1002/acr.24503,Scale Banking for Patient-Reported Outcome Measures That Measure Functioning in Rheumatoid Arthritis: A Daily Activities Metric.,Prodinger B; Coenen M; Hammond A; Küçükdeveci AA; Tennant A,2022,Arthritis care & research,https://pubmed.ncbi.nlm.nih.gov/33152178/,SPECIALISED,Measurement equivalence and statistical linking,Use conditionally for complex scales or specific domains,CONDITIONAL
PMID-33610807,33610807,10.1016/j.spinee.2021.02.012,Linking Oswestry Disability Index to the PROMIS pain interference CAT with equipercentile methods.,Tang X; Schalet BD; Hung M; Brodke DS; Saltzman CL; Cella D,2021,The spine journal : official journal of the North American Spine Society,https://pubmed.ncbi.nlm.nih.gov/33610807/,SPECIALISED,Measurement equivalence and statistical linking,Use conditionally for complex scales or specific domains,CONDITIONAL
PMID-30235003,30235003,10.1080/00273171.2018.1491381,"Scoring Depression on a Common Metric: A Comparison of EAP Estimation, Plausible Value Imputation, and Full Bayesian IRT Modeling.",Fischer HF; Rose M,2019,Multivariate behavioral research,https://pubmed.ncbi.nlm.nih.gov/30235003/,SPECIALISED,Measurement equivalence and statistical linking,Use conditionally for complex scales or specific domains,CONDITIONAL
PMID-26524232,26524232,10.1080/0361073X.2015.1085748,Data Harmonization in Aging Research: Not so Fast.,Gatz M; Reynolds CA; Finkel D; Hahn CJ; Zhou Y; Zavala C,2015,Experimental aging research,https://pubmed.ncbi.nlm.nih.gov/26524232/,SPECIALISED,Measurement equivalence and statistical linking,Use conditionally for complex scales or specific domains,CONDITIONAL
PMID-24262771,24262771,10.1016/j.jclinepi.2013.04.019,Standardization of depression measurement: a common metric was developed for 11 self-report depression measures.,Wahl I; Löwe B; Bjorner JB; Fischer F; Langs G; Voderholzer U; Aita SA; Bergemann N; Brähler E; Rose M,2014,Journal of clinical epidemiology,https://pubmed.ncbi.nlm.nih.gov/24262771/,SPECIALISED,Measurement equivalence and statistical linking,Use conditionally for complex scales or specific domains,CONDITIONAL
PMID-24767588,24767588,10.1016/j.ssresearch.2014.02.006,Measurement equivalence of the CES-D 8 depression-scale among the ageing population in eleven European countries.,Missinne S; Vandeviver C; Van de Velde S; Bracke P,2014,Social science research,https://pubmed.ncbi.nlm.nih.gov/24767588/,SPECIALISED,Measurement equivalence and statistical linking,Use conditionally for complex scales or specific domains,CONDITIONAL
PMID-38577153,38577153,10.3389/fnut.2024.1379531,Diet patterns associated with cognitive decline: methods to harmonize data from European and US cohort studies.,Ayala-Garcia A; Soldevila-Domenech N; Yi SY; de la Torre R; Steffen LM; IAFNS Retrospective Harmonization Expert Working Group,2024,Frontiers in nutrition,https://pubmed.ncbi.nlm.nih.gov/38577153/,SPECIALISED,Pre-statistical harmonisation potential,Use conditionally for complex scales or specific domains,CONDITIONAL
DOI-10.1787-acf46da9-en,,10.1787/acf46da9-en,Comparing patient-reported outcome and experience measures in international health surveys,OECD,2026,OECD Publishing,https://doi.org/10.1787/acf46da9-en,CORE,PaRIS-EHIS comparative benchmark,"Independent replication, methodological audit and sensitivity analysis",HIGH
